Country,Year,Per capita income
Aruba,2002,20436.8871286309
Aruba,2003,20833.7616116694
Aruba,2004,22569.9749851801
Aruba,2005,23300.0395575696
Aruba,2006,24045.2724833547
Aruba,2007,25835.1326676284
Aruba,2008,27084.7036903653
Afghanistan,2002,179.426494467624
Afghanistan,2003,190.684008786064
Afghanistan,2004,211.381969507195
Afghanistan,2005,242.031379173351
Afghanistan,2006,263.733734678911
Afghanistan,2007,359.693480030525
Afghanistan,2008,364.660465388571
Angola,2002,872.494491592841
Angola,2003,982.960899291112
Angola,2004,1255.56404471491
Angola,2005,1902.42234554625
Angola,2006,2599.56646397608
Angola,2007,3121.99563726236
Angola,2008,4080.94140992346
Albania,2002,1425.12484888368
Albania,2003,1846.11881331912
Albania,2004,2373.57984371994
Albania,2005,2673.78728253113
Albania,2006,2972.74326462176
Albania,2007,3595.03716321514
Albania,2008,4370.54008654749
Andorra,2002,24741.4935704562